,Jackfruit,Mango,Tamarind
Accepted Scientific name,*Artocarpus heterophyllus*,*Mangifera indica*,T*amarindus indica*
Name in Malayalam,"Pilavu/Plavu (tree), chakka (fruit)","Maavu/Moochi (tree), manga (fruit)","Puli, Valan puli, Kolpuli"
Family,Moraceae,Anacardiaceae,Fabaceae
Description (Trees of Delhi),A handsome evergreen tree with glossy leaves up to 20 m tall in ideal conditions. Cultivated for its misshapen fruits - largest edible fruit in the world,"Semi-evergreen trees with long, glossy leaves that can grow up to 35 m in favourable sites. Bark is grey-brown and rough with shallow cracks.","Large, handsome, long-lived tree with a squat trunk and a shady crown. Introduced to India from E Africa, but virtually indigenous. The bark is dark grey, rough with shallow fissures"
Flower description,"Male and female separate, on the same tree. Male flowers tiny, in clusters emerging from new branchlets; female flowers densely crowded on old branches or directly from the trunk","Mango flowers are tiny, yellowish-green, strongly scented, in huge, branched clusters. Most flowers are male and the rest bisexual.","Small, with 3 unequal-sized yellow petals veined with red; flower cup has 4 creamy segments"
Fruit description,"Gigantic, lumpy, barrel- or pear-shaped; pollinated by small flies and beetles","Fruit is smooth-skinned, waxy and in various colours depending on the variety. Flesh is fibrous or pulpy and the stone flattened, kidney-shaped","Beanlike pod bulging over the seeds, up to 20 cm long; green at first, ripening cinnamon-brown. Young pod is covered with a downy felt."
Common varieties in Kerala,"Varikka, koozha, etc","Muvandan, chandrakkaran, etc",
Uses,"Timber, fruit",Fruit,"Fruit, timber"
Fruiting and flowering months in Kerala,November to April,January to May,September to April
SeasonWatch dataset,,,
Total number of observations,72097,68696,24213
Total number of trees,7927,9919,1750
